Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,0.066404,0.071905,0.064575,0.071467,0.071467,56479
2019-09-18,0.071381,0.072542,0.046633,0.066204,0.066204,140076
2019-09-19,0.066218,0.071707,0.059318,0.067879,0.067879,141960
2019-09-20,0.067840,0.070376,0.065899,0.070258,0.070258,41859
2019-09-21,0.070307,0.070568,0.065247,0.065831,0.065831,104581
2019-09-22,0.065818,0.070201,0.065805,0.069604,0.069604,98631
2019-09-23,0.069616,0.069647,0.060849,0.068372,0.068372,97092
2019-09-24,0.068379,0.068534,0.049542,0.054927,0.054927,44188
2019-09-25,0.054936,0.061945,0.052777,0.061862,0.061862,77191
2019-09-26,0.061862,0.061862,0.055642,0.059005,0.059005,37152
2019-09-27,0.058961,0.060556,0.052450,0.060403,0.060403,57612
2019-09-28,0.060416,0.063628,0.056167,0.062164,0.062164,87975
2019-09-29,0.062177,0.062397,0.058164,0.059945,0.059945,45973
2019-09-30,0.059933,0.061036,0.057174,0.058123,0.058123,24849
2019-10-01,0.058129,0.061419,0.056796,0.060353,0.060353,48297
2019-10-02,0.060353,0.061127,0.055703,0.061105,0.061105,47300
2019-10-03,0.061131,0.061459,0.056950,0.059740,0.059740,21407
2019-10-04,0.059720,0.060462,0.057114,0.058090,0.058090,11223
2019-10-05,0.058090,0.061832,0.056984,0.061683,0.061683,34741
2019-10-06,0.061667,0.061828,0.055478,0.058597,0.058597,47086
2019-10-07,0.058541,0.061818,0.057033,0.059420,0.059420,61953
2019-10-08,0.059418,0.062419,0.058031,0.058641,0.058641,13045
2019-10-09,0.058641,0.065808,0.058624,0.065640,0.065640,22679
2019-10-10,0.065643,0.066283,0.062819,0.064771,0.064771,42018
2019-10-11,0.064778,0.065703,0.062204,0.062621,0.062621,16092
2019-10-12,0.062599,0.064164,0.060279,0.062348,0.062348,36017
2019-10-13,0.062321,0.064733,0.061515,0.062231,0.062231,37876
2019-10-14,0.062231,0.064285,0.059733,0.061878,0.061878,61492
2019-10-15,0.061901,0.063247,0.057468,0.058981,0.058981,49298
2019-10-16,0.058953,0.059566,0.055821,0.057475,0.057475,91661
2019-10-17,0.057445,0.058427,0.055960,0.058419,0.058419,77888
2019-10-18,0.058419,0.058421,0.054672,0.056808,0.056808,60363
2019-10-19,0.056800,0.057886,0.055572,0.056965,0.056965,39086
2019-10-20,0.056999,0.058844,0.055790,0.058815,0.058815,49187
